"RECNUM","AdoptMomAge","AdoptDadAge","ADPFAMST","MomRace","DadRace","Transracial"
"251802000000",49,51,1,2,2,0
"251816000000",31,NA,3,2,99,0
"251819000000",43,NA,4,2,99,0
"251821000000",58,60,1,1,1,0
"251827000000",52,NA,3,2,99,3
"251828000000",NA,NA,NA,99,99,9
"251831000000",45,50,1,1,1,0
"251834000000",57,NA,4,2,99,0
"251838000000",55,NA,3,2,99,0
"251840000000",71,71,1,7,7,2
"251841000000",45,45,1,1,1,0
"251844000000",54,NA,3,2,99,0
"251848000000",29,29,1,1,2,9
"251854000000",52,NA,4,1,99,0
"251862000000",29,43,1,7,7,0
"251863000000",44,NA,3,2,99,9
"251866000000",59,62,1,2,2,0
"251866000000",51,NA,3,2,99,0
"251866000000",51,NA,3,2,99,0
"251869000000",68,66,2,1,1,1
"251869000000",50,40,1,1,1,0
"251871000000",47,NA,3,2,99,0
"251871000000",60,NA,3,2,99,0
"251874000000",60,NA,3,2,99,0
"251877000000",55,NA,3,7,99,2
"251878000000",47,49,1,1,1,0
"251880000000",55,NA,4,2,99,9
"251885000000",55,56,1,2,2,9
"251888000000",50,NA,4,99,99,9
"251890000000",49,NA,3,2,99,0
"251893000000",56,48,1,1,1,0
"251903000000",52,55,1,1,1,1
"251907000000",61,NA,3,2,99,3
"251911000000",60,NA,3,2,99,0
"251911000000",53,NA,3,2,99,3
"251921000000",50,50,1,1,1,0
"251921000000",49,53,1,1,1,0
"251927000000",39,NA,3,99,99,9
"251931000000",53,37,1,7,7,3
"251932000000",53,NA,3,2,99,0
"251938000000",79,NA,3,2,99,3
"251949000000",48,50,1,7,7,3
"251950000000",65,63,1,2,2,0
"251960000000",48,43,1,1,1,0
"251960000000",48,43,1,1,1,0
"251961000000",60,NA,3,2,99,0
"251967000000",53,49,1,2,2,0
"251969000000",49,NA,3,2,99,0
"251969000000",49,NA,3,2,99,0
"251973000000",45,NA,3,2,99,0
"251974000000",NA,NA,NA,99,99,9
"251974000000",48,45,1,1,1,0
"251974000000",48,NA,3,1,99,0
"251984000000",62,NA,3,2,99,0
"251994000000",53,55,1,2,2,0
"251994000000",41,NA,3,7,99,3
"251995000000",46,45,1,1,1,0
"251996000000",51,52,1,2,2,2
"252000000000",57,67,1,1,1,0
"252001000000",51,NA,3,1,99,1
"252002000000",42,NA,4,1,99,0
"252012000000",45,44,1,2,2,0
"252017000000",49,50,1,7,7,0
"252017000000",49,50,1,7,7,0
"252017000000",55,52,1,2,2,2
"252018000000",49,49,1,1,1,1
"252020000000",48,54,1,1,1,9
"252028000000",60,NA,3,7,99,3
"252032000000",48,NA,3,2,99,3
"252035000000",53,52,1,1,1,0
"252046000000",44,46,1,99,99,9
"252059000000",38,NA,3,2,99,9
"252065000000",NA,NA,NA,99,99,9
"252066000000",35,45,1,1,1,9
"252069000000",28,30,1,1,1,0
"252072000000",42,39,1,1,1,0
"252075000000",54,NA,3,2,99,3
"252075000000",54,NA,3,2,99,3
"252079000000",76,NA,3,2,99,0
"252082000000",59,NA,3,7,99,3
"252083000000",49,50,1,2,2,0
"252084000000",56,50,1,2,2,0
"252087000000",58,NA,3,1,99,0
"252087000000",47,NA,3,2,99,0
"252092000000",65,NA,3,7,99,0
"252103000000",56,NA,3,7,99,0
"252105000000",45,46,1,1,1,0
"252111000000",43,NA,3,1,99,0
"252113000000",67,NA,3,7,99,3
"252113000000",67,NA,3,7,99,3
"252120000000",52,NA,3,2,99,0
"252120000000",52,NA,3,2,99,0
"252122000000",41,36,1,1,1,0
"252126000000",55,NA,3,2,99,0
"252138000000",36,36,2,7,2,0
"252142000000",48,NA,3,2,99,0
"252146000000",49,NA,3,1,99,0
"252147000000",53,NA,3,2,99,0
"252150000000",46,NA,3,2,99,0
"252152000000",57,NA,3,7,99,3
"252152000000",34,37,1,7,1,0
"252158000000",60,NA,3,2,99,0
"252158000000",NA,NA,NA,99,99,9
"252159000000",47,NA,3,2,99,0
"252160000000",57,NA,3,2,99,0
"252164000000",56,NA,3,2,99,0
"252166000000",53,NA,3,2,99,9
"252166000000",53,NA,3,2,99,9
"252168000000",28,NA,3,7,99,0
"252169000000",54,52,1,1,1,0
"252170000000",45,48,1,1,1,0
"252177000000",49,NA,3,99,99,9
"252178000000",58,NA,3,7,99,0
"252181000000",33,34,1,1,1,1
"252183000000",55,NA,3,7,99,3
"252184000000",55,NA,3,7,99,0
"252184000000",55,NA,3,7,99,0
"252184000000",74,52,1,1,1,0
"252184000000",58,NA,3,7,99,0
"252185000000",47,NA,3,7,99,3
"252186000000",53,54,1,7,7,0
"252186000000",51,NA,3,2,99,0
"252186000000",34,36,1,1,1,0
"252187000000",55,NA,3,7,99,2
"252190000000",34,39,1,1,1,0
"252191000000",46,58,1,1,2,0
"252194000000",57,58,2,99,99,9
"252199000000",62,NA,3,7,99,0
"252209000000",53,52,1,1,1,0
"252212000000",53,NA,3,1,99,0
"252214000000",50,51,1,1,1,9
"252222000000",53,51,1,2,2,0
"252224000000",40,42,1,1,1,0
"252237000000",30,NA,3,1,99,1
"252240000000",52,NA,3,2,99,0
"252247000000",67,NA,3,2,99,3
"252259000000",54,49,1,2,2,0
"252287000000",47,45,1,1,1,0
"252309000000",41,46,1,1,1,0
"252313000000",57,NA,3,2,99,0
"252322000000",56,51,1,1,1,0
"252339000000",68,66,2,1,1,0
"252347000000",43,NA,4,2,99,0
"252361000000",55,NA,3,2,99,0
"252376000000",44,38,1,1,1,0
"252382000000",56,63,1,1,1,9
"252382000000",42,44,1,1,1,0
"252397000000",43,46,1,1,1,0
"252398000000",56,NA,3,1,99,0
"252401000000",46,47,1,5,1,3
"252404000000",43,NA,3,1,99,0
"252410000000",46,43,2,1,1,1
