"RecNumbr","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"252426000000",NA,NA,NA,NA,NA,NA
"252427000000",42,43,1,7,7,9
"252427000000",NA,NA,NA,NA,NA,NA
"252429000000",NA,NA,NA,NA,NA,NA
"252433000000",78,49,1,2,2,0
"252439000000",51,50,1,1,1,0
"252440000000",NA,NA,NA,NA,NA,NA
"252444000000",39,NA,3,2,NA,9
"252445000000",59,62,NA,1,1,1
"252447000000",NA,NA,NA,NA,NA,NA
"252448000000",NA,NA,NA,NA,NA,NA
"252452000000",NA,NA,NA,NA,NA,NA
"252455000000",54,NA,3,2,NA,0
"252455000000",51,NA,1,7,NA,NA
"252461000000",NA,NA,NA,NA,NA,9
"252462000000",NA,NA,NA,NA,NA,NA
"252466000000",NA,NA,NA,NA,NA,NA
"252467000000",NA,NA,NA,NA,NA,NA
"252468000000",NA,NA,NA,NA,NA,NA
"252469000000",59,NA,3,2,NA,9
"252472000000",34,NA,3,2,NA,0
"252477000000",48,NA,3,2,NA,NA
"252478000000",NA,NA,NA,NA,NA,NA
"252482000000",NA,NA,NA,NA,NA,NA
"252491000000",48,48,1,2,2,0
"252497000000",54,NA,3,2,NA,NA
"252505000000",55,NA,NA,2,NA,NA
"252509000000",NA,NA,NA,NA,NA,NA
"252514000000",NA,NA,NA,NA,NA,NA
"252521000000",41,NA,NA,2,NA,0
"252566000000",52,NA,NA,2,NA,0
"252567000000",NA,NA,NA,NA,NA,NA
"252571000000",51,NA,3,2,NA,0
"252602000000",46,NA,3,2,NA,0
"252606000000",39,NA,3,2,NA,0
"252608000000",34,NA,NA,7,NA,NA
"252631000000",57,NA,NA,7,NA,NA
"252664000000",53,54,2,2,2,0
"260139000000",NA,NA,3,NA,NA,NA
"260153000000",63,NA,NA,7,NA,9
"260160000000",NA,NA,NA,NA,NA,NA
"260183000000",60,NA,3,2,NA,0
"260302000000",NA,NA,NA,NA,NA,NA
"260330000000",NA,NA,NA,NA,NA,NA
"260348000000",29,NA,3,2,NA,9
"260524000000",NA,NA,NA,NA,NA,NA
"260533000000",43,NA,3,2,NA,0
"260543000000",NA,NA,3,NA,NA,NA
"260544000000",34,NA,3,2,NA,NA
"260588000000",45,NA,3,2,NA,0
"260628000000",45,NA,3,2,NA,0
"260641000000",NA,NA,NA,NA,NA,NA
"260927000000",37,NA,NA,2,NA,0
"260930000000",NA,NA,NA,NA,NA,NA
"260998000000",NA,NA,NA,NA,NA,NA
"261126000000",84,84,NA,2,2,3
"261168000000",NA,NA,NA,NA,NA,9
"261188000000",NA,NA,NA,NA,NA,NA
"261198000000",NA,NA,NA,NA,NA,NA
"261214000000",NA,NA,NA,NA,NA,NA
"261371000000",49,NA,NA,2,NA,NA
"261374000000",55,54,1,7,7,2
"261597000000",55,NA,NA,2,NA,0
"261616000000",65,NA,NA,2,NA,0
"261720000000",NA,NA,NA,NA,NA,NA
"261749000000",53,45,1,7,7,3
"261853000000",37,NA,NA,7,NA,0
"261868000000",NA,NA,NA,NA,NA,NA
"261887000000",30,35,NA,1,7,0
"261913000000",44,NA,NA,2,NA,0
"261953000000",30,35,3,7,7,9
"262055000000",NA,NA,NA,NA,NA,NA
"262095000000",54,NA,3,2,NA,9
"262206000000",48,NA,3,2,NA,NA
"262231000000",56,54,1,1,1,0
"262244000000",35,NA,NA,2,NA,0
"262274000000",42,NA,NA,2,NA,0
"262285000000",52,NA,1,2,NA,NA
"262303000000",37,NA,NA,2,NA,0
