"RECNUM","SEX","AGYSPNDS","AgeAtAdopt","ChildRace","BioMomAgeAtBirth","MOMARRD"
"260204000000",1,2,6,2,36,2
"260204000000",1,2,6,2,30,2
"260205000000",2,2,9,2,24,3
"260205000000",2,2,6,7,28,1
"260206000000",1,2,6,2,19,2
"260207000000",1,2,6,7,17,3
"260208000000",1,2,10,99,20,2
"260210000000",2,2,6,2,22,2
"260211000000",1,2,7,2,20,2
"260212000000",1,2,5,1,26,2
"260213000000",1,2,9,7,18,3
"260213000000",2,2,8,7,20,3
"260214000000",2,2,6,2,36,3
"260215000000",1,2,6,2,41,2
"260216000000",1,2,7,2,27,2
"260218000000",2,2,5,99,34,2
"260220000000",1,2,8,99,19,2
"260222000000",1,2,6,1,34,2
"260222000000",2,2,6,1,21,2
"260222000000",2,2,5,1,24,2
"260223000000",1,2,14,2,17,2
"260223000000",1,2,13,99,18,2
"260225000000",1,2,6,7,22,2
"260225000000",2,2,6,2,20,2
"260231000000",2,2,11,1,27,2
"260234000000",1,2,6,2,27,2
"260234000000",2,2,6,2,22,2
"260236000000",2,2,7,7,22,3
"260238000000",1,2,17,99,NA,3
"260239000000",1,2,6,2,28,2
"260240000000",1,2,6,2,23,2
"260244000000",1,2,6,1,26,2
"260247000000",1,2,8,2,20,2
"260247000000",2,2,10,2,18,2
"260249000000",2,2,6,2,33,3
"260249000000",2,2,6,1,29,3
"260251000000",2,2,6,2,30,2
"260256000000",1,2,15,2,31,2
"260256000000",1,2,9,2,36,2
"260258000000",1,2,6,1,19,2
"260258000000",1,2,6,1,19,2
"260258000000",2,2,6,1,21,2
"260264000000",2,2,5,7,27,2
"260264000000",2,2,9,2,38,2
"260264000000",2,2,12,2,35,2
"260272000000",1,2,6,2,28,2
"260272000000",2,2,6,99,35,3
"260272000000",2,2,6,99,35,3
"260272000000",1,2,6,2,34,2
"260272000000",1,2,6,2,34,2
"260277000000",1,2,5,99,30,2
"260277000000",2,2,6,1,22,2
"260278000000",2,2,6,99,24,2
"260280000000",1,2,6,1,22,1
"260282000000",2,2,16,2,22,3
"260285000000",2,2,11,1,34,1
"260285000000",1,2,8,1,38,1
"260286000000",2,2,5,1,27,1
"260287000000",1,2,6,2,24,2
"260293000000",1,2,10,7,25,2
"260294000000",2,2,5,2,26,3
"260296000000",1,2,6,2,24,2
"260296000000",2,2,7,2,40,2
"260297000000",1,2,6,2,23,2
"260301000000",1,2,6,1,30,2
"260302000000",2,2,6,2,26,2
"260303000000",1,2,6,2,26,2
"260304000000",2,2,6,3,23,2
"260314000000",1,2,7,1,33,2
"260317000000",2,2,9,2,42,1
"260317000000",1,2,11,2,40,1
"260322000000",1,2,6,2,22,2
"260322000000",2,2,6,1,22,2
"260329000000",2,2,6,2,21,2
"260333000000",2,2,6,2,24,2
"260336000000",1,2,6,1,16,2
"260346000000",2,2,6,1,15,2
"260348000000",2,2,5,1,34,2
"260349000000",2,2,5,1,20,2
"260349000000",1,2,6,1,42,3
"260349000000",1,2,6,7,19,3
"260349000000",1,2,8,2,35,3
"260349000000",1,2,6,2,26,2
"260350000000",1,2,13,7,22,2
"260350000000",2,2,11,7,25,2
"260351000000",1,2,6,2,20,2
"260353000000",2,2,6,2,22,2
"260354000000",1,2,10,7,20,2
"260354000000",1,2,8,7,23,2
"260358000000",2,2,7,99,23,2
"260360000000",2,2,6,2,23,2
"260361000000",1,2,5,1,24,2
"260366000000",2,2,6,99,20,2
"260366000000",1,2,5,2,29,2
"260367000000",1,2,6,7,38,2
"260370000000",1,2,5,1,26,2
"260370000000",2,2,6,2,40,2
"260371000000",2,2,6,2,35,2
"260372000000",1,2,6,7,30,2
"260377000000",1,2,5,1,20,1
"260379000000",2,2,6,2,19,NA
"260379000000",2,2,5,99,30,3
"260380000000",1,2,11,2,22,2
"260380000000",1,2,10,2,23,2
"260380000000",1,2,6,2,26,2
"260386000000",2,2,6,2,30,2
"260391000000",2,2,7,99,37,2
"260391000000",1,2,6,2,45,2
"260393000000",1,2,6,2,29,2
"260394000000",1,2,5,7,30,2
"260394000000",2,2,10,2,18,2
"260394000000",1,2,6,2,21,2
"260394000000",2,2,5,2,23,2
"260395000000",2,2,5,99,35,2
"260397000000",2,2,5,1,28,2
"260398000000",2,2,6,1,25,2
"260501000000",1,2,6,1,26,1
"260506000000",2,2,9,2,31,2
"260506000000",1,2,10,99,30,2
"260507000000",2,2,10,2,40,2
"260507000000",1,2,7,7,17,2
"260508000000",2,2,6,2,17,2
"260509000000",2,2,10,7,30,2
"260514000000",1,2,6,2,19,2
"260514000000",2,2,7,2,17,2
"260514000000",2,2,7,2,17,2
"260521000000",1,2,10,1,NA,2
"260522000000",2,2,6,7,19,2
"260526000000",1,2,5,1,21,3
"260526000000",1,2,5,1,19,2
"260529000000",2,2,7,1,32,2
"260533000000",2,2,16,2,33,3
"260534000000",1,2,6,1,24,2
"260534000000",1,2,6,1,24,2
"260535000000",1,2,5,1,24,2
"260539000000",1,2,6,1,19,2
"260540000000",1,2,9,1,21,2
"260540000000",1,2,7,1,22,2
"260543000000",1,2,6,2,18,2
"260543000000",1,2,5,2,23,2
"260547000000",1,2,6,7,21,2
"260550000000",1,2,6,2,NA,2
"260554000000",2,2,5,7,24,2
"260559000000",1,2,5,2,19,2
"260562000000",1,2,7,99,25,2
"260563000000",1,2,5,2,23,3
"260565000000",2,2,8,1,23,2
"260565000000",2,2,5,99,29,2
"260566000000",1,2,5,99,22,2
"260569000000",1,2,6,2,19,2
"260570000000",1,2,6,2,20,2
"260571000000",2,2,5,1,21,2
"260580000000",2,2,5,1,18,2
"260580000000",2,2,5,1,37,2
"260582000000",1,2,6,99,20,2
"260583000000",1,2,6,2,NA,NA
