"RecNumbr","SEX","CLINDIS","AgeAtEnd","RaceEthn","P1AgeAtBirth","CTKFAMST","TOTALREM","NUMPLEP","MANREM","RemRsnChil","IsTPR","ado","F1Age","F2Age","FOSFAMST","F1Race","F2Race","Transracial"
"251497000000",1,2,16,1,NA,NA,2,2,2,0,1,0,43,NA,3,1,NA,0
"251510000000",2,1,16,2,21,3,2,5,2,0,0,0,71,NA,3,2,NA,0
"251554000000",2,1,17,2,NA,NA,1,4,2,0,1,0,45,33,3,2,2,0
"251579000000",2,1,16,1,27,2,1,2,2,0,1,1,59,NA,3,7,NA,NA
"251649000000",1,2,17,2,20,2,1,1,2,0,1,0,67,NA,NA,2,NA,0
"251811000000",2,1,17,2,NA,NA,1,4,2,0,1,0,37,41,NA,2,2,0
"251820000000",1,1,17,2,37,3,1,5,2,0,1,0,47,NA,3,2,NA,0
"251834000000",2,1,16,2,18,2,1,3,2,0,1,1,57,NA,2,2,NA,0
"251955000000",2,1,17,1,33,1,1,4,2,0,0,0,31,47,1,1,1,0
"252004000000",2,1,17,2,25,1,2,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"252041000000",1,1,17,1,21,2,2,9,2,0,1,0,55,NA,NA,2,NA,NA
"252053000000",1,1,17,2,55,1,1,12,2,0,1,0,NA,NA,NA,NA,NA,NA
"252090000000",2,1,16,2,23,2,1,12,2,0,1,0,NA,NA,NA,NA,NA,NA
"252161000000",1,1,16,7,29,3,2,1,2,1,0,0,NA,NA,NA,NA,NA,NA
"252209000000",1,2,16,1,NA,NA,2,5,2,0,1,1,49,50,1,1,1,0
"252212000000",2,1,16,99,17,3,1,2,2,0,1,0,37,37,1,1,1,9
"252220000000",1,1,16,2,39,3,1,7,2,0,1,0,NA,NA,NA,NA,NA,NA
"252221000000",1,1,16,2,44,3,2,6,2,0,1,0,NA,NA,NA,NA,NA,NA
"252222000000",2,1,16,2,23,3,1,8,2,0,1,1,52,NA,2,2,NA,0
"252222000000",2,1,16,99,20,3,1,10,2,0,1,0,NA,NA,NA,NA,NA,9
"252224000000",2,1,16,1,NA,NA,1,6,2,1,1,1,39,41,1,1,1,0
"252231000000",2,1,17,1,NA,NA,1,5,NA,NA,1,0,53,NA,NA,1,NA,0
"252234000000",2,1,16,99,65,1,1,11,2,1,1,0,NA,NA,NA,NA,NA,9
"252237000000",2,2,16,2,20,2,3,1,2,0,1,1,29,NA,3,1,NA,NA
"252251000000",2,1,16,7,26,2,1,11,2,0,1,0,64,NA,NA,7,NA,0
"252258000000",2,1,17,1,37,3,2,1,2,0,0,0,72,NA,3,7,NA,NA
"252258000000",2,1,17,2,20,3,1,16,2,0,1,0,NA,NA,NA,NA,NA,NA
"252259000000",1,1,16,2,35,2,3,6,2,0,1,1,53,NA,1,2,NA,0
"252260000000",1,1,17,2,NA,5,1,9,2,0,1,0,39,51,1,2,2,0
"252271000000",1,2,16,2,24,1,1,2,NA,NA,0,0,72,NA,3,2,NA,0
"252278000000",1,1,16,2,NA,NA,1,6,2,0,1,0,45,46,NA,1,1,1
"252300000000",2,2,16,1,38,1,2,1,1,0,1,0,NA,NA,1,NA,NA,NA
"252308000000",1,1,17,1,39,3,2,5,2,0,1,0,NA,NA,NA,NA,NA,NA
"252327000000",2,1,17,2,23,3,1,2,2,0,1,0,45,45,2,7,2,0
"252344000000",2,2,16,1,21,3,1,2,2,0,1,0,38,42,2,1,1,0
"252347000000",1,2,16,2,29,1,2,6,NA,NA,1,0,64,62,1,2,2,0
